935016	he emigrated to france with his family in 1956 due to the rise of antisemitism in egypt he studied at the cole normale sup rieure de saint cloud the sorbonne and the institut d etudes politiques de paris rousso s notable work includes a seminal book on vichy france entitled the vichy syndrome 1987 where he coined a phrase commonly used to describe the era pass qui ne passe pas past that doesn t pass the expression was possibly inspired by ernst nolte s june 6 1986 article entitled die vergangenheit die nicht vergehen will the past that does not want to pass away rousso currently serves as director of research at the french national centre for scientific research cnrs with which he has been involved since 1981 on february 22 2017 rousso was detained by u s customs and border protection cbp agents for 10 hours on arrival at george bush intercontinental airport in houston and nearly deported he had come to give a talk at texas a m university and was detained because he was entering the country on a tourist visa and was being paid a stipend for the talk the customs and border protection agent was	he emigrated to france with
2360440	after being ambushed by the germans in november 1941 she was brutally hanged near the village of golovkovo in the naro fominsky district to the southwest of moscow according to legend she was also the model behind ivan shadr s girl with an oar sculpture in moscow s gorky park in 1994 voloshina was honoured posthumously as a heroine of the russian federation the daughter of a miner and a schoolteacher vera voloshina was born in the siberian city of kemerovo on 30 september 1919 after doing well in sports at school there she moved to moscow after the tenth grade from 1936 she studied at the state institute of physical education while in moscow she attended the aero club where she practised parachute jumping and piloted a polikarpov i 153 fighter plane she attempted unsuccessfully to go to spain to fight in the spanish civil war according to several accounts the soviet sculptor ivan shadr persuaded voloshina to pose as a model for his 12 meter nude statue of the girl with an oar which was unveiled in gorsky park in 1935 voloshina began to train at a sports institute but had to leave after experiencing serious health problems	after being ambushed by the germ
347765	she was the second ship named for captain alexander j dallas and was later renamed alexander dallas dallas was launched 31 may 1919 by newport news shipbuilding dry dock company sponsored by miss w d strong great granddaughter of captain dallas and commissioned 29 october 1920 lieutenant e h roach in temporary command lieutenant a r early assumed command 10 november 1920 dallas operated on the east coast participating in exercises and maneuvers from her base at charleston south carolina she arrived at philadelphia 12 april 1922 and was decommissioned there 26 june recommissioned on 14 april 1925 dallas served with various destroyer squadrons acting as flagship for squadrons 9 7 and 1 until 1931 she cruised on the east coast and in the caribbean engaging in gunnery exercises battle torpedo practice fleet maneuvers and problems participating in joint army navy exercises training members of the naval reserve and serving as experimental ship at the naval torpedo station newport rhode island on 9 january 1932 dallas sailed from charleston for the west coast arriving at san diego 21 march she operated along the west coast and in the hawaiian islands conducting force practice and tactical exercises and participating in combined	she was the second ship named for
1969335	world war ii was a global war that was under way by 1939 and ended in 1945 on 10 may 1940 nazi germany which aimed to dominate europe attacked the dutch as part of their war with france by 12 march 1942 the dutch mainland and all their major colonies were controlled by germans and japanese dutch power was not restored until final axis collapse in 1945 this list covers the equipment of armed elements centered on royal netherlands army and royal netherlands east indies army but not the free dutch army which was equipped completely by foreign allied powers see also dutch hand grenades the dutch army in 1940 was in the process of converting their machine guns to their unique 7 92x57mm rimmed cartridge exact numbers of machine guns converted is unknown see for geographic distribution of coastal defenses and fortresses in continental netherlands the listing below do include both army and land based navy weapons but do not include 47mm guns which are counted as anti tank guns carden loyd mk iv tankette 5 tankettes used in battle of the netherlands all numbers are for european part of dutch armed forces at moment of german attack 10	world war ii was a global war
1576938	the ship was ordered on 2 april 1942 laid down on 22 may 1943 and launched on 10 december 1943 she was commissioned into the kriegsmarine under the command of kapit nleutnant eberhard findeisen on 24 march 1944 initially assigned to the 4th u boat flotilla she was transferred to the 33rd u boat flotilla on 1 december 1944 german type ixc 40 submarines were slightly larger than the original type ixcs u 877 had a displacement of when at the surface and while submerged the u boat had a total length of a pressure hull length of a beam of a height of and a draught of the submarine was powered by two man m 9 v 40 46 supercharged four stroke nine cylinder diesel engines producing a total of for use while surfaced two siemens schuckert 2 gu 345 34 double acting electric motors producing a total of for use while submerged she had two shafts and two propellers the boat was capable of operating at depths of up to the submarine had a maximum surface speed of and a maximum submerged speed of when submerged the boat could operate for at when surfaced she could travel at	the ship was ordered on 2 apr
1676613	in the 1930s he embraced futurism with spiralist and diagonal shapes both in painting and in sculpture experimenting with aluminium in a mobile light an important representative of aeropittura aeropainting in 1936 he exhibited at biennale di venezia and in 1937 at the world expo of paris immediately after world war ii monachesi did expressionist and fauve painting also as a member of the scuola romana becoming part of the group of balduina with david grazioso and ferdinando bellorini but it was especially in plastic sculpture that his research became innovative he explored new materials and compositions and on the occasion of the moon landing he founded the agr movement a futurist current looking at these exalting successes of technology and thus expresses in artwork the absence of gravity the zero g that by subtracting from bodies their terrestrial weight proposes to free man and art from all conditioning monachesi s pieces in coloured methacrylate are truly dynamic action sculptures the artist moulds the transparent and fluorescent perpex sheet and succeeds in capturing and freeing the void of the full figure it circumscribes floriano de santis 1990 perspex and evelpiume introduce two new materials into art rubber foam and polymethacrylate	in the 1930s he embraced fut
11904	it has bold flavours particularly the pungency and spiciness resulting from liberal use of garlic and chili peppers as well as the unique flavour of sichuan pepper there are many local variations within sichuan province and the neighbouring chongqing municipality which was part of sichuan province until 1997 four sub styles of sichuan cuisine include chongqing chengdu zigong and buddhist vegetarian style unesco declared chengdu the capital of sichuan province to be a city of gastronomy in 2011 to recognise the sophistication of its cooking sichuan in the middle ages welcomed middle eastern crops such as broad beans sesame and walnuts since the 16th century the list of major crops in sichuan has even been lengthened by new world newcomers the characteristic chili pepper came from mexico but probably overland from india or by river from macau complementing the traditional sichuan peppercorn other newcomers from the new world included maize corn which largely replaced millet white potatoes introduced by catholic missions and sweet potatoes the population of sichuan was cut by perhaps three quarters in the wars from the ming dynasty to the qing dynasty settlers from the adjacent hunan province brought their cooking styles with them sichuan is colloquially	it has bold flavours particularly the p
1444531	the magazine was founded in 1954 by writer and former luftwaffe officer 1921 2002 who worked as its editor in chief until 1999 in september 2013 the bauer media group its last owner ceased publishing the magazine the magazine asserted that its war stories were true and that their underlying message was one of peace in fact many of their stories came with disclaimer reminding the reader of the horrors of war critics however dismissed such claims as pure lip service to avoid getting indexed by west germany s federal department for media harmful to young persons which started to index several of their editions in the 1950s from its founding the magazine was criticized for glorifying war and delivering a distorted image of the wehrmacht and nazi germany during world war ii the content of novels was accurate regarding minor technical details but its descriptions were often not authentic and withheld important contextual information from the reader antisemitism german war crimes the repressive nature of the german government and the causes of the war were not mentioned germany s leading news magazine der spiegel described der landser once as the expert journal for the whitewashing of the wehrmacht fachorgan	the magazine was founded in 1954 by
1360854	during his later life he was a founder of the fortress study group a prominent member of the concrete society and a dedicated fund raiser for the red cross john robert edward hamilton baillie was born at carlisle cumberland on 1 march 1919 a scion of the noble hamilton family he was descended from the sixth earl of haddington he was educated at clifton college and the royal military academy woolwich following which he was commissioned into the royal engineers and posted to the 26th field company hamilton baillie s company was mobilised with the 1st division and sent to france at the start of the war shortly afterwards the company was transferred to the 51st highland infantry division and stationed in the saar region to gain experience on the maginot line with the advance of the german forces hamilton baillie was wounded and captured at saint valery en caux after recovering from his wounds he was moved to a prison camp at peronne from which he and another officer escaped but were recaptured after three days hamilton baillie was moved again to oflag vii c at laufen from which he attempted to escape via a tunnel but the exit	during his later life he was a
804473	as a young scoutmaster during 1945 g bor bodn r b 1920 worked with several scout friends to organize troops in refugee camps in germany they were referred to collectively as the hontalan sasok or homeless eagles bodn r led the k lf ldi magyar cserk szsz vets g from its founding in 1945 until his death in the early 1990s these groups from the displaced persons camps joined together to form the p l teleki scout association after the start of the cold war and the rise of the iron curtain which closed the borders of hungary in 1948 the communist government officially disbanded scouting within hungary s borders to help preserve the traditions of hungarian scouting the p l teleki scout association changed its name to that of the now banned national hungarian boy scout association magyar cserk szsz vets g in the late 1940s and early 1950s the refugees from world war ii and the new communist regimes in eastern europe were unable to return to their native country many emigrated to various countries the first overseas troop was founded in 1950 in rio de janeiro although it has since disbanded three troops founded in caracas venezuela	as a young scoutmaster during 1945
